127.0.0.1 - - [06/Aug/2025:15:07:39 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:32:21 +0900] "GET /20250806Web/list.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:32:58 +0900] "GET /20250806Web/list.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:32:59 +0900] "GET /20250806Web/delete.jsp?num=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:33:00 +0900] "GET /20250806Web/list.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:33:04 +0900] "GET /20250806Web/updForm.jsp?num=1 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:33:14 +0900] "GET /20250806Web/updResult.jsp?num=1&content=%EA%B3%A0%EB%A7%99 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:33:14 +0900] "GET /20250806Web/list.jsp HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:39:14 +0900] "GET /20250806Web/updForm.jsp?num=1 HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:39:23 +0900] "GET /20250806Web/updResult.jsp?num=1&content=%EA%B3%A0%EB%A7%99%EC%8A%B5%EB%8B%88%EB%8B%A4%EB%9E%8C%EC%A5%90 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:16:39:23 +0900] "GET /20250806Web/list.jsp HTTP/1.1" 200 3181
